tournament_year,team,fifa_ranking,ranking_as_of_date,source_url
2026,Algeria,35,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Argentina,2,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Australia,26,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Austria,24,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Belgium,8,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Bosnia and Herzegovina,,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Brazil,5,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Canada,27,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Cape Verde,68,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Colombia,13,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Croatia,10,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Curaçao,82,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Czech Republic,,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,DR Congo,,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Ecuador,23,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Egypt,34,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,England,4,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,France,3,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Germany,9,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Ghana,72,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Haiti,84,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Iran,20,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Iraq,,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Ivory Coast,42,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Japan,18,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Jordan,66,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Mexico,15,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Morocco,11,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Netherlands,7,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,New Zealand,86,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Norway,29,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Panama,30,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Paraguay,39,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Portugal,6,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Qatar,51,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Saudi Arabia,60,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Scotland,36,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
2026,Senegal,19,2025-11-19,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_draw
